Zone de df_dispo_alimentaire_final;Zone df_mapping_en_pays
BêLARUS;BIêLORUSSIE
BOLIVIE (êTAT PLURINATIONAL DE);BOLIVIE
BRUNêI DARUSSALAM;BRUNEI
CABO VERDE;CAP-VERT
CHINE - RAS DE HONG-KONG;R.A.S. CHINOISE DE HONG KONG
CHINE - RAS DE MACAO;R.A.S. CHINOISE DE MACAO
CHINE, CONTINENTALE;CHINE
CHINE, TAIWAN PROVINCE DE;TAÿWAN
CONGO;CONGO-BRAZZAVILLE ou CONGO-KINSHASA
C‚TE D'IVOIRE;C‚TE D?IVOIRE
EL SALVADOR;SALVADOR
êTATS-UNIS D'AMêRIQUE;êTATS-UNIS
FêDêRATION DE RUSSIE;RUSSIE
IRAN (RêPUBLIQUE ISLAMIQUE D');IRAN
IRAQ;IRAK
KIRGHIZISTAN;KIRGHIZSTAN
LIBêRIA;LIBERIA
MYANMAR;MYANMAR (BIRMANIE)
NIGêRIA;NIGERIA
RêPUBLIQUE DE CORêE;CORêE DU SUD
RêPUBLIQUE DE MOLDOVA;MOLDAVIE
RêPUBLIQUE DêMOCRATIQUE POPULAIRE LAO;LAOS
RêPUBLIQUE POPULAIRE DêMOCRATIQUE DE CORêE;CORêE DU NORD
RêPUBLIQUE-UNIE DE TANZANIE;TANZANIE
ROYAUME-UNI DE GRANDE-BRETAGNE ET D'IRLANDE DU NORD;ROYAUME-UNI
SAINT-KITTS-ET-NEVIS;SAINT-CHRISTOPHE-ET-NIêV‘S
TIMOR-LESTE;TIMOR ORIENTAL
VENEZUELA (RêPUBLIQUE BOLIVARIENNE DU);VENEZUELA
VIET NAM;VI“T NAM
